entry,additive_.C3_NMR_shift,additive_.C3_electrostatic_charge,additive_.C4_NMR_shift,additive_.C4_electrostatic_charge,additive_.C5_NMR_shift,additive_.C5_electrostatic_charge,additive_.N1_electrostatic_charge,additive_.O1_electrostatic_charge,additive_E_HOMO,additive_E_LUMO,additive_V1_frequency,additive_V1_intensity,additive_dipole_moment,additive_electronegativity,additive_hardness,additive_molecular_volume,additive_molecular_weight,additive_ovality,additive_surface_area,aryl_halide_.C1_NMR_shift,aryl_halide_.C1_electrostatic_charge,aryl_halide_.C2_NMR_shift,aryl_halide_.C2_electrostatic_charge,aryl_halide_.C3_NMR_shift,aryl_halide_.C3_electrostatic_charge,aryl_halide_.C4_NMR_shift,aryl_halide_.C4_electrostatic_charge,aryl_halide_.H2_NMR_shift,aryl_halide_.H2_electrostatic_charge,aryl_halide_.H3_NMR_shift,aryl_halide_.H3_electrostatic_charge,aryl_halide_E_HOMO,aryl_halide_E_LUMO,aryl_halide_V1_frequency,aryl_halide_V1_intensity,aryl_halide_V2_frequency,aryl_halide_V2_intensity,aryl_halide_V3_frequency,aryl_halide_V3_intensity,aryl_halide_dipole_moment,aryl_halide_electronegativity,aryl_halide_hardness,aryl_halide_molecular_volume,aryl_halide_molecular_weight,aryl_halide_ovality,aryl_halide_surface_area,base_.N1_electrostatic_charge,base_E_HOMO,base_E_LUMO,base_dipole_moment,base_electronegativity,base_hardness,base_molecular_volume,base_molecular_weight,base_ovality,base_surface_area,ligand_.C10_NMR_shift,ligand_.C10_electrostatic_charge,ligand_.C11_NMR_shift,ligand_.C11_electrostatic_charge,ligand_.C12_NMR_shift,ligand_.C12_electrostatic_charge,ligand_.C13_NMR_shift,ligand_.C13_electrostatic_charge,ligand_.C14_NMR_shift,ligand_.C14_electrostatic_charge,ligand_.C15_NMR_shift,ligand_.C15_electrostatic_charge,ligand_.C16_NMR_shift,ligand_.C16_electrostatic_charge,ligand_.C17_NMR_shift,ligand_.C17_electrostatic_charge,ligand_.C1_NMR_shift,ligand_.C1_electrostatic_charge,ligand_.C2_NMR_shift,ligand_.C2_electrostatic_charge,ligand_.C3_NMR_shift,ligand_.C3_electrostatic_charge,ligand_.C4_NMR_shift,ligand_.C4_electrostatic_charge,ligand_.C5_NMR_shift,ligand_.C5_electrostatic_charge,ligand_.C6_NMR_shift,ligand_.C6_electrostatic_charge,ligand_.C7_NMR_shift,ligand_.C7_electrostatic_charge,ligand_.C8_NMR_shift,ligand_.C8_electrostatic_charge,ligand_.C9_NMR_shift,ligand_.C9_electrostatic_charge,ligand_.H11_NMR_shift,ligand_.H11_electrostatic_charge,ligand_.H3_NMR_shift,ligand_.H3_electrostatic_charge,ligand_.H4_NMR_shift,ligand_.H4_electrostatic_charge,ligand_.H9_NMR_shift,ligand_.H9_electrostatic_charge,ligand_.P1_electrostatic_charge,ligand_V10_frequency,ligand_V10_intensity,ligand_V1_frequency,ligand_V1_intensity,ligand_V2_frequency,ligand_V2_intensity,ligand_V3_frequency,ligand_V3_intensity,ligand_V4_frequency,ligand_V4_intensity,ligand_V5_frequency,ligand_V5_intensity,ligand_V6_frequency,ligand_V6_intensity,ligand_V7_frequency,ligand_V7_intensity,ligand_V8_frequency,ligand_V8_intensity,ligand_V9_frequency,ligand_V9_intensity,ligand_dipole_moment,yield
49,-0.958351938,-0.777457781,-0.771299004,-0.024591866,1.063834165,-0.041200496,0.259006194,0.903646394,0.595625538,-0.376525182,0.191080877,-0.622196098,-0.419855227,-0.237388285,-0.862731354,-0.058334222,-0.20542508,-0.448095422,-0.160619014,0.554219021,0.58330214,0.272540485,-0.497835073,-0.450789218,0.276128694,-0.429976349,-0.255090795,-0.693478499,0.978332542,-0.626305627,0.048702689,0.254722513,0.166639681,-0.235773856,-0.4127413,0.285064026,-0.441258624,0.784371906,-0.617956316,-1.747674984,-0.252130729,-0.261945754,0.514434852,-0.065139868,0.6404217,0.545117334,-0.506657046,1.201026214,0.835667909,1.295633827,-0.925703196,-0.707017494,1.385168748,1.408556454,1.3421821,1.379727412,0.278125112,0.299594331,-0.606377067,0.948857075,-1.039064039,-0.131240385,-0.474554528,-1.363570008,0.688989655,0.225618349,-0.019290795,-0.264391626,0.054577634,-1.570978614,-0.662065663,-1.311443617,1.541917686,-0.811782191,-1.349960948,-0.537632703,1.017816351,-0.062987667,0.974667218,1.104223621,-1.088856903,-1.083288205,0.543470414,1.499202623,0.730889819,-1.105348517,-0.848339038,0.664836293,0.769148202,-0.481040667,1.132134061,0.253478052,1.024858613,-0.605908037,0.932471693,-1.061318384,-0.641161741,-0.883429697,1.246964784,1.697019948,1.731628218,-0.573829885,-0.071569559,0.948297186,-0.893710226,1.652694398,-1.46872246,-0.575137569,-0.429725147,-0.406397342,-0.594883481,1.31786131,-1.300052486,-0.40711787,1.235014093,1.665621042,1.565049958,-0.142098791,1.049607143,-1.027237008,10.65781182
50,-0.958351938,-0.777457781,-0.771299004,-0.024591866,1.063834165,-0.041200496,0.259006194,0.903646394,0.595625538,-0.376525182,0.191080877,-0.622196098,-0.419855227,-0.237388285,-0.862731354,-0.058334222,-0.20542508,-0.448095422,-0.160619014,0.55175231,-0.223055906,0.330016664,0.204668909,-0.450969332,-0.007959972,-0.428977327,-0.077670613,-0.692539403,-0.258970379,-0.626529196,0.205247046,0.256951951,0.14543553,-0.243602806,-0.367271204,0.245624989,-0.465097864,0.509583763,-0.686920103,-1.766442481,-0.252130729,-0.261945754,0.744481903,0.928543376,0.841953004,0.768846272,-0.506657046,1.201026214,0.835667909,1.295633827,-0.925703196,-0.707017494,1.385168748,1.408556454,1.3421821,1.379727412,0.278125112,0.299594331,-0.606377067,0.948857075,-1.039064039,-0.131240385,-0.474554528,-1.363570008,0.688989655,0.225618349,-0.019290795,-0.264391626,0.054577634,-1.570978614,-0.662065663,-1.311443617,1.541917686,-0.811782191,-1.349960948,-0.537632703,1.017816351,-0.062987667,0.974667218,1.104223621,-1.088856903,-1.083288205,0.543470414,1.499202623,0.730889819,-1.105348517,-0.848339038,0.664836293,0.769148202,-0.481040667,1.132134061,0.253478052,1.024858613,-0.605908037,0.932471693,-1.061318384,-0.641161741,-0.883429697,1.246964784,1.697019948,1.731628218,-0.573829885,-0.071569559,0.948297186,-0.893710226,1.652694398,-1.46872246,-0.575137569,-0.429725147,-0.406397342,-0.594883481,1.31786131,-1.300052486,-0.40711787,1.235014093,1.665621042,1.565049958,-0.142098791,1.049607143,-1.027237008,14.7478961
51,-0.958351938,-0.777457781,-0.771299004,-0.024591866,1.063834165,-0.041200496,0.259006194,0.903646394,0.595625538,-0.376525182,0.191080877,-0.622196098,-0.419855227,-0.237388285,-0.862731354,-0.058334222,-0.20542508,-0.448095422,-0.160619014,0.315945324,-0.551437011,0.069093058,0.414507761,0.09315494,-0.098538967,2.291888485,-0.009659543,1.62815439,-0.74813665,1.361668113,0.231337772,0.263291913,0.125478682,-0.253907314,-0.374326908,0.20064857,-0.488476124,-0.212045679,-0.733081348,-1.421617829,-0.252130729,-0.276717131,1.095418423,1.978889094,1.065876675,1.093301659,-0.506657046,1.201026214,0.835667909,1.295633827,-0.925703196,-0.707017494,1.385168748,1.408556454,1.3421821,1.379727412,0.278125112,0.299594331,-0.606377067,0.948857075,-1.039064039,-0.131240385,-0.474554528,-1.363570008,0.688989655,0.225618349,-0.019290795,-0.264391626,0.054577634,-1.570978614,-0.662065663,-1.311443617,1.541917686,-0.811782191,-1.349960948,-0.537632703,1.017816351,-0.062987667,0.974667218,1.104223621,-1.088856903,-1.083288205,0.543470414,1.499202623,0.730889819,-1.105348517,-0.848339038,0.664836293,0.769148202,-0.481040667,1.132134061,0.253478052,1.024858613,-0.605908037,0.932471693,-1.061318384,-0.641161741,-0.883429697,1.246964784,1.697019948,1.731628218,-0.573829885,-0.071569559,0.948297186,-0.893710226,1.652694398,-1.46872246,-0.575137569,-0.429725147,-0.406397342,-0.594883481,1.31786131,-1.300052486,-0.40711787,1.235014093,1.665621042,1.565049958,-0.142098791,1.049607143,-1.027237008,18.27868619
52,-0.958351938,-0.777457781,-0.771299004,-0.024591866,1.063834165,-0.041200496,0.259006194,0.903646394,0.595625538,-0.376525182,0.191080877,-0.622196098,-0.419855227,-0.237388285,-0.862731354,-0.058334222,-0.20542508,-0.448095422,-0.160619014,0.52249293,0.192893493,0.284218185,-0.069033941,-0.530849873,-0.757295295,-0.395296003,1.066689561,-0.694668021,0.805685623,-0.632118416,1.092331737,0.285795297,0.513389916,-0.359127345,-0.781336537,0.278629147,1.24493955,0.473433966,-0.316851524,0.651891762,-0.291663421,-0.276717131,0.263984516,-0.913869992,0.282143826,0.263761245,-0.506657046,1.201026214,0.835667909,1.295633827,-0.925703196,-0.707017494,1.385168748,1.408556454,1.3421821,1.379727412,0.278125112,0.299594331,-0.606377067,0.948857075,-1.039064039,-0.131240385,-0.474554528,-1.363570008,0.688989655,0.225618349,-0.019290795,-0.264391626,0.054577634,-1.570978614,-0.662065663,-1.311443617,1.541917686,-0.811782191,-1.349960948,-0.537632703,1.017816351,-0.062987667,0.974667218,1.104223621,-1.088856903,-1.083288205,0.543470414,1.499202623,0.730889819,-1.105348517,-0.848339038,0.664836293,0.769148202,-0.481040667,1.132134061,0.253478052,1.024858613,-0.605908037,0.932471693,-1.061318384,-0.641161741,-0.883429697,1.246964784,1.697019948,1.731628218,-0.573829885,-0.071569559,0.948297186,-0.893710226,1.652694398,-1.46872246,-0.575137569,-0.429725147,-0.406397342,-0.594883481,1.31786131,-1.300052486,-0.40711787,1.235014093,1.665621042,1.565049958,-0.142098791,1.049607143,-1.027237008,2.475057616
53,-0.958351938,-0.777457781,-0.771299004,-0.024591866,1.063834165,-0.041200496,0.259006194,0.903646394,0.595625538,-0.376525182,0.191080877,-0.622196098,-0.419855227,-0.237388285,-0.862731354,-0.058334222,-0.20542508,-0.448095422,-0.160619014,0.516614813,-0.252245338,0.339504795,0.318711763,-0.528058106,-0.712005798,-0.394511057,1.0075495,-0.693728925,-0.287744865,-0.632192939,0.831424475,-3.740986685,-3.704988839,3.735462296,0.821876351,3.340818892,2.558764845,3.150630747,1.202576428,0.742759298,3.740671228,3.741097441,0.493521484,0.079701491,0.48367513,0.487490183,-0.506657046,1.201026214,0.835667909,1.295633827,-0.925703196,-0.707017494,1.385168748,1.408556454,1.3421821,1.379727412,0.278125112,0.299594331,-0.606377067,0.948857075,-1.039064039,-0.131240385,-0.474554528,-1.363570008,0.688989655,0.225618349,-0.019290795,-0.264391626,0.054577634,-1.570978614,-0.662065663,-1.311443617,1.541917686,-0.811782191,-1.349960948,-0.537632703,1.017816351,-0.062987667,0.974667218,1.104223621,-1.088856903,-1.083288205,0.543470414,1.499202623,0.730889819,-1.105348517,-0.848339038,0.664836293,0.769148202,-0.481040667,1.132134061,0.253478052,1.024858613,-0.605908037,0.932471693,-1.061318384,-0.641161741,-0.883429697,1.246964784,1.697019948,1.731628218,-0.573829885,-0.071569559,0.948297186,-0.893710226,1.652694398,-1.46872246,-0.575137569,-0.429725147,-0.406397342,-0.594883481,1.31786131,-1.300052486,-0.40711787,1.235014093,1.665621042,1.565049958,-0.142098791,1.049607143,-1.027237008,6.119058475
54,-0.958351938,-0.777457781,-0.771299004,-0.024591866,1.063834165,-0.041200496,0.259006194,0.903646394,0.595625538,-0.376525182,0.191080877,-0.622196098,-0.419855227,-0.237388285,-0.862731354,-0.058334222,-0.20542508,-0.448095422,-0.160619014,-1.454102848,-1.259280726,-1.670884223,1.02577746,-1.051649387,-1.185486909,0.447065339,1.362389864,1.474330481,-0.83446011,1.529046619,1.301057547,0.287606715,0.325047162,-0.378149352,-0.774934138,0.197634337,2.002856159,-0.503107442,-0.188267431,0.517530132,-0.291663421,-0.276717131,0.843947922,1.13015897,0.729991168,0.810977046,-0.506657046,1.201026214,0.835667909,1.295633827,-0.925703196,-0.707017494,1.385168748,1.408556454,1.3421821,1.379727412,0.278125112,0.299594331,-0.606377067,0.948857075,-1.039064039,-0.131240385,-0.474554528,-1.363570008,0.688989655,0.225618349,-0.019290795,-0.264391626,0.054577634,-1.570978614,-0.662065663,-1.311443617,1.541917686,-0.811782191,-1.349960948,-0.537632703,1.017816351,-0.062987667,0.974667218,1.104223621,-1.088856903,-1.083288205,0.543470414,1.499202623,0.730889819,-1.105348517,-0.848339038,0.664836293,0.769148202,-0.481040667,1.132134061,0.253478052,1.024858613,-0.605908037,0.932471693,-1.061318384,-0.641161741,-0.883429697,1.246964784,1.697019948,1.731628218,-0.573829885,-0.071569559,0.948297186,-0.893710226,1.652694398,-1.46872246,-0.575137569,-0.429725147,-0.406397342,-0.594883481,1.31786131,-1.300052486,-0.40711787,1.235014093,1.665621042,1.565049958,-0.142098791,1.049607143,-1.027237008,5.449924218
55,-0.958351938,-0.777457781,-0.771299004,-0.024591866,1.063834165,-0.041200496,0.259006194,0.903646394,0.595625538,-0.376525182,0.191080877,-0.622196098,-0.419855227,-0.237388285,-0.862731354,-0.058334222,-0.20542508,-0.448095422,-0.160619014,0.539523726,0.794925519,0.266519171,-0.798908208,-0.435479531,0.26789424,-0.415090916,-0.092455628,-0.694542808,1.064656002,-0.62943559,-0.316567478,0.273881741,0.530852158,-0.251025058,-0.468794954,0.409155595,-0.545242491,0.154297104,-0.869229211,0.013433113,-0.291663421,-0.261945754,0.757744039,-0.957948257,0.819560637,0.772236104,-0.506657046,1.201026214,0.835667909,1.295633827,-0.925703196,-0.707017494,1.385168748,1.408556454,1.3421821,1.379727412,0.278125112,0.299594331,-0.606377067,0.948857075,-1.039064039,-0.131240385,-0.474554528,-1.363570008,0.688989655,0.225618349,-0.019290795,-0.264391626,0.054577634,-1.570978614,-0.662065663,-1.311443617,1.541917686,-0.811782191,-1.349960948,-0.537632703,1.017816351,-0.062987667,0.974667218,1.104223621,-1.088856903,-1.083288205,0.543470414,1.499202623,0.730889819,-1.105348517,-0.848339038,0.664836293,0.769148202,-0.481040667,1.132134061,0.253478052,1.024858613,-0.605908037,0.932471693,-1.061318384,-0.641161741,-0.883429697,1.246964784,1.697019948,1.731628218,-0.573829885,-0.071569559,0.948297186,-0.893710226,1.652694398,-1.46872246,-0.575137569,-0.429725147,-0.406397342,-0.594883481,1.31786131,-1.300052486,-0.40711787,1.235014093,1.665621042,1.565049958,-0.142098791,1.049607143,-1.027237008,7.802080337
56,-0.958351938,-0.777457781,-0.771299004,-0.024591866,1.063834165,-0.041200496,0.259006194,0.903646394,0.595625538,-0.376525182,0.191080877,-0.622196098,-0.419855227,-0.237388285,-0.862731354,-0.058334222,-0.20542508,-0.448095422,-0.160619014,0.536059836,0.025054262,0.324725206,-0.128336225,-0.433318164,0.041446752,-0.414006264,0.031738499,-0.693728925,-0.143872433,-0.629510113,-0.212204573,0.27450877,0.517131825,-0.264030576,-0.450371725,-0.860564639,-0.546691285,-0.157510419,-0.888527948,0.104344706,-0.291663421,-0.261945754,0.988301171,0.035734986,0.998699573,0.996449304,-0.506657046,1.201026214,0.835667909,1.295633827,-0.925703196,-0.707017494,1.385168748,1.408556454,1.3421821,1.379727412,0.278125112,0.299594331,-0.606377067,0.948857075,-1.039064039,-0.131240385,-0.474554528,-1.363570008,0.688989655,0.225618349,-0.019290795,-0.264391626,0.054577634,-1.570978614,-0.662065663,-1.311443617,1.541917686,-0.811782191,-1.349960948,-0.537632703,1.017816351,-0.062987667,0.974667218,1.104223621,-1.088856903,-1.083288205,0.543470414,1.499202623,0.730889819,-1.105348517,-0.848339038,0.664836293,0.769148202,-0.481040667,1.132134061,0.253478052,1.024858613,-0.605908037,0.932471693,-1.061318384,-0.641161741,-0.883429697,1.246964784,1.697019948,1.731628218,-0.573829885,-0.071569559,0.948297186,-0.893710226,1.652694398,-1.46872246,-0.575137569,-0.429725147,-0.406397342,-0.594883481,1.31786131,-1.300052486,-0.40711787,1.235014093,1.665621042,1.565049958,-0.142098791,1.049607143,-1.027237008,14.23417841
57,-0.958351938,-0.777457781,-0.771299004,-0.024591866,1.063834165,-0.041200496,0.259006194,0.903646394,0.595625538,-0.376525182,0.191080877,-0.622196098,-0.419855227,-0.237388285,-0.862731354,-0.058334222,-0.20542508,-0.448095422,-0.160619014,-0.70267473,-0.390895137,0.29881531,0.177298624,2.266770203,-0.110890649,2.416323849,0.129319599,1.826992295,-0.719362163,2.508128903,-0.133932395,0.278340616,0.303843011,-0.273773662,-0.471408178,-0.869099321,-0.546921775,-0.934793156,-0.897815813,-0.158307614,-0.278485857,-0.276717131,1.338727609,1.086080705,1.245015612,1.319936168,-0.506657046,1.201026214,0.835667909,1.295633827,-0.925703196,-0.707017494,1.385168748,1.408556454,1.3421821,1.379727412,0.278125112,0.299594331,-0.606377067,0.948857075,-1.039064039,-0.131240385,-0.474554528,-1.363570008,0.688989655,0.225618349,-0.019290795,-0.264391626,0.054577634,-1.570978614,-0.662065663,-1.311443617,1.541917686,-0.811782191,-1.349960948,-0.537632703,1.017816351,-0.062987667,0.974667218,1.104223621,-1.088856903,-1.083288205,0.543470414,1.499202623,0.730889819,-1.105348517,-0.848339038,0.664836293,0.769148202,-0.481040667,1.132134061,0.253478052,1.024858613,-0.605908037,0.932471693,-1.061318384,-0.641161741,-0.883429697,1.246964784,1.697019948,1.731628218,-0.573829885,-0.071569559,0.948297186,-0.893710226,1.652694398,-1.46872246,-0.575137569,-0.429725147,-0.406397342,-0.594883481,1.31786131,-1.300052486,-0.40711787,1.235014093,1.665621042,1.565049958,-0.142098791,1.049607143,-1.027237008,15.41389344
58,-0.958351938,-0.777457781,-0.771299004,-0.024591866,1.063834165,-0.041200496,0.259006194,0.903646394,0.595625538,-0.376525182,0.191080877,-0.622196098,-0.419855227,-0.237388285,-0.862731354,-0.058334222,-0.20542508,-0.448095422,-0.160619014,0.592794167,2.075611828,0.199189933,-1.852664182,-0.370908677,1.708923708,-0.444091107,-1.739506317,-0.69485584,1.899116112,-0.626976334,-1.568922336,0.257091291,0.192833044,-0.175997986,-0.785779018,-0.314649795,-0.478301642,-0.021358608,1.715466785,1.357020044,-0.252130729,-0.261945754,-1.44683102,-1.562929152,-1.419676075,-1.436966096,-0.506657046,1.201026214,0.835667909,1.295633827,-0.925703196,-0.707017494,1.385168748,1.408556454,1.3421821,1.379727412,0.278125112,0.299594331,-0.606377067,0.948857075,-1.039064039,-0.131240385,-0.474554528,-1.363570008,0.688989655,0.225618349,-0.019290795,-0.264391626,0.054577634,-1.570978614,-0.662065663,-1.311443617,1.541917686,-0.811782191,-1.349960948,-0.537632703,1.017816351,-0.062987667,0.974667218,1.104223621,-1.088856903,-1.083288205,0.543470414,1.499202623,0.730889819,-1.105348517,-0.848339038,0.664836293,0.769148202,-0.481040667,1.132134061,0.253478052,1.024858613,-0.605908037,0.932471693,-1.061318384,-0.641161741,-0.883429697,1.246964784,1.697019948,1.731628218,-0.573829885,-0.071569559,0.948297186,-0.893710226,1.652694398,-1.46872246,-0.575137569,-0.429725147,-0.406397342,-0.594883481,1.31786131,-1.300052486,-0.40711787,1.235014093,1.665621042,1.565049958,-0.142098791,1.049607143,-1.027237008,9.46569581
