,sulfonyl_fluoride_SMILES_index,base_SMILES_index,solvent_SMILES_index,substrate_concentration_index,sulfonyl_equiv_index,base_equiv_index,temperature_index,yield
307624,O=S(C1=CC=C(C)C=C1)(F)=O,CN1C2=NCCCN2CCC1,CC1=CC=CC=C1,0.1,1.9,1.9,60,49
276274,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,CN1C2=NCCCN2CCC1,CC1=CC=CC=C1,0.1,1.1,1.9,60,30
57524,O=S(C1=CC=CC=C1)(F)=O,CN1C2=NCCCN2CCC1,CC1=CC=CC=C1,0.1,1.1,1.9,60,29
89399,ClC1=CC=C(S(=O)(F)=O)C=C1,CN1C2=NCCCN2CCC1,FC(C1=CC=CC=C1)(F)F,0.1,1.1,1.9,60,28
308173,O=S(C1=CC=C(C)C=C1)(F)=O,CN1C2=NCCCN2CCC1,FC(C1=CC=CC=C1)(F)F,0.1,1.3,1.9,50,26
285649,O=S(C1=CC=C(C)C=C1)(F)=O,N12CCCN=C1NCCC2,CC1=CC=CC=C1,0.1,1.1,1.9,60,23
255709,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,N12CCCN=C1NCCC2,C1CCOC1,0.1,1.7,1.3,60,18
120649,O=S(C1=CC=CC=N1)(F)=O,CN1C2=NCCCN2CCC1,FC(C1=CC=CC=C1)(F)F,0.1,1.1,1.9,60,17
286850,O=S(C1=CC=C(C)C=C1)(F)=O,N12CCCN=C1NCCC2,FC(C1=CC=CC=C1)(F)F,0.5,1.9,1.1,20,11
308774,O=S(C1=CC=C(C)C=C1)(F)=O,CN1C2=NCCCN2CCC1,C1CCOC1,0.1,1.1,1.9,60,5
311374,O=S(C1=CC=C(C)C=C1)(F)=O,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,FC(C1=CC=CC=C1)(F)F,0.1,1.9,1.9,60,4
292504,O=S(C1=CC=C(C)C=C1)(F)=O,CN(/C(N(C)C)=N\C(C)(C)C)C,FC(C1=CC=CC=C1)(F)F,0.1,1.1,1.1,60,4
159500,FC1=C(F)C(F)=C(S(=O)(F)=O)C(F)=C1F,N12CCCN=C1NCCC2,O=CN(C)C,0.2,1.1,1.1,20,2
190130,O=S(CC1=CC=CC=C1)(F)=O,N1(CC2)CCC2CC1,C1CCOC1,0.2,1.1,1.3,20,0
1117,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N1(CC2)CCC2CC1,O=S(C)C,0.4,1.9,1.7,40,0
