molecule_id,base_ES_root_electronic_spatial_extent_MING,base_electronic_spatial_extent_MING,base_ES_root_electronic_spatial_extent_Boltz,base_electronic_spatial_extent_Boltz,base_ES_root_molar_volume_Boltz,base_molar_volume_Boltz,base_ES_root_molar_volume_MING,base_molar_volume_MING,base_E_scf_MING,base_E_scf_Boltz,base_G_MING,base_G_Boltz,base_E_zpe_MING,base_E_zpe_Boltz,base_E_MING,base_H_MING,base_H_Boltz,base_E_Boltz,base_c_max_NMR_shift_Boltz,base_c_max_NMR_shift_MING
N1(CC2)CCC2CC1,808.0324,801.6355,808.0324,801.6355,1106.962,970.487,1106.962,970.487,-329.310701412,-329.310701412,-329.145203,-329.145203,-329.11463,-329.11463,-329.108112,-329.107168,-329.107168,-329.108112,29.497,29.497
N12CCCN=C1NCCC2,1450.2052,1447.7745,1450.2052,1447.7745,1276.116,1276.116,1276.116,1276.116,-438.823919971,-438.823919971,-438.650457,-438.650457,-438.617107,-438.617107,-438.608549,-438.607605,-438.607605,-438.608549,50.63,50.63
CN1CCN2CCN(C)P1N(C)CC2,2685.2445,2683.3293,2685.2445,2683.3293,2133.068,1828.344,2133.068,1828.344,-915.916322453,-915.916322453,-915.643485,-915.643485,-915.602596,-915.602596,-915.587363,-915.586419,-915.586419,-915.587363,248.1469,248.1469
CN(/C(N(C)C)=N\C(C)(C)C)C,2399.9158,2399.0126,2399.8923432936926,2398.989021373248,1786.1002739375062,1753.055681936053,1741.009,1632.196,-519.829452358,-519.8294523582983,-519.570242,-519.5702396683134,-519.528571,-519.5285703339607,-519.512809,-519.511864,-519.5118638520738,-519.512808000353,44.779926010114174,44.7814
CCN(CC)CC,1028.2567,1018.2958,1025.3079982144957,1015.4212916297132,1301.0168187102615,1217.0033085771906,1294.839,1137.358,-292.415024125,-292.4148545722304,-292.242262,-292.2420092716312,-292.208021,-292.20783186845654,-292.19857,-292.197626,-292.19745940642304,-292.1984035170414,31.164600967710328,31.2103
C1NCCC1,398.3503,392.5017,398.3503,392.5017,651.347,651.347,651.347,651.347,-212.582017867,-212.582017867,-212.480271,-212.480271,-212.451671,-212.451671,-212.446674,-212.445729,-212.445729,-212.446674,31.7672,31.7672
CC(C)N1CCN2CCN(C(C)C)P1N(C(C)C)CC2,5801.1883,5798.6912,5774.313366058356,5771.7137258250805,2783.823856736576,2876.407791373514,2802.606,2892.051,-1151.80202475,-1151.8016541019852,-1151.370304,-1151.3698414691885,-1151.318387,-1151.3180035970008,-1151.294894,-1151.293949,-1151.2935807921574,-1151.294525609297,240.7220156003984,238.2911
C12=NCCCN1CCCCC2,1817.2382,1818.2283,1817.2382,1818.2283,1486.334,1433.251,1486.334,1433.251,-462.094333238,-462.094333238,-461.882404,-461.882404,-461.847227,-461.847227,-461.837434,-461.836489,-461.836489,-461.837434,40.8002,40.8002
CN1C2=NCCCN2CCC1,1749.6293,1748.2474,1749.6293,1748.2474,1329.594,1223.226,1329.594,1223.226,-478.132030078,-478.132030078,-477.932841,-477.932841,-477.897444,-477.897444,-477.887282,-477.886338,-477.886338,-477.887282,49.9134,49.9134
CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,6426.3459,6414.4647,6433.79659564184,6422.039654289769,3116.5796980591563,2985.3733087319533,3072.533,2545.813,-1189.93074157,-1189.9306210792906,-1189.494364,-1189.4941282035738,-1189.439794,-1189.4396748266831,-1189.41611,-1189.415165,-1189.4150361007114,-1189.4159802400789,389.3997914307365,388.8667
