molecule_id,sulfonyl_fluoride_electronic_spatial_extent_MING,sulfonyl_fluoride_ES_root_electronic_spatial_extent_MING,sulfonyl_fluoride_electronic_spatial_extent_Boltz,sulfonyl_fluoride_ES_root_electronic_spatial_extent_Boltz,sulfonyl_fluoride_vib_5_dip_strength_MING,sulfonyl_fluoride_vib_5_dip_strength_Boltz,sulfonyl_fluoride_vib_4_dip_strength_MING,sulfonyl_fluoride_G_MING,sulfonyl_fluoride_G_Boltz,sulfonyl_fluoride_E_zpe_MING,sulfonyl_fluoride_E_zpe_Boltz,sulfonyl_fluoride_E_MING,sulfonyl_fluoride_H_MING,sulfonyl_fluoride_E_Boltz,sulfonyl_fluoride_H_Boltz,sulfonyl_fluoride_E_scf_MING,sulfonyl_fluoride_E_scf_Boltz,sulfonyl_fluoride_vib_4_dip_strength_Boltz,sulfonyl_fluoride_vib_13_dip_strength_Boltz,sulfonyl_fluoride_vib_1_dip_strength_MING
O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,3837.4347,3839.9405,3838.540253960199,3841.04718403573,666.2614,660.9472687098635,604.7583,-1217.03039,-1217.030384183423,-1216.989499,-1216.9895043182514,-1216.9775,-1216.976556,-1216.977506647814,-1216.9765626478145,-1217.09768592,-1217.0976933971244,646.3299937667707,534.3138707133241,366.1762
O=S(C1=CC=CC=C1)(F)=O,1573.0572,1573.7149,1573.0540499999995,1573.7117666666666,909.4641,909.409,909.4641,-879.994817,-879.9948169999999,-879.96052,-879.9605199999999,-879.95217,-879.951226,-879.95217,-879.9512256666667,-880.064044705,-880.0640447043334,909.409,0.6208666666666667,837.9602
ClC1=CC=C(S(=O)(F)=O)C=C1,2727.1459,2726.35,2727.139899470353,2726.344099435043,1407.5028,1407.5057328625358,246.7893,-1339.600491,-1339.6004903335686,-1339.564013,-1339.5640126666076,-1339.554449,-1339.553504,-1339.554448666608,-1339.553504,-1339.65780987,-1339.65780987,246.8031114702393,76.97725044137266,534.2858
O=S(C1=CC=CC=N1)(F)=O,1531.5315,1532.6165,1532.307771853523,1533.414951185406,588.7552,601.5489160708473,588.7552,-896.038525,-896.0383748566459,-896.004197,-896.0038893144488,-895.995922,-895.994978,-895.995603627216,-895.9946589807737,-896.095676126,-896.0953516395463,534.7610293037436,5.992918695117712,903.4432
FC(C(F)(F)C(F)(F)S(=O)(F)=O)(F)C(F)(F)F,3871.8851,3868.6482,3777.1312183215823,3772.2417232355647,98.6573,298.548080207666,420.3906,-1699.339664,-1699.338744226994,-1699.294694,-1699.2939341185486,-1699.278708,-1699.277764,-1699.2779777576932,-1699.277033623887,-1699.3584312,-1699.3577102963602,583.5841974870921,712.4119260834372,212.7585
FC1=C(F)C(F)=C(S(=O)(F)=O)C(F)=C1F,3171.3386,3171.4989,3171.335872302479,3171.496172267182,646.2772,646.2787601194334,646.2772,-1376.154119,-1376.154118666902,-1376.113797,-1376.113797,-1376.100829,-1376.099884,-1376.1008288334508,-1376.099884,-1376.17596734,-1376.1759673383326,646.2787601194334,604.050616972577,367.4546
O=S(CC1=CC=CC=C1)(F)=O,2126.8942,2127.3633,2101.5633528046683,2102.083206588501,1269.4741,883.9428848091479,1269.4741,-919.286453,-919.2861490798928,-919.249204,-919.249068440153,-919.239461,-919.238517,-919.23934236642,-919.23839801566,-919.381266995,-919.3811143456362,648.2485955557206,14.650188950335837,109.4559
O=S(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(F)=O,5317.6065,5318.5787,5317.881037053916,5318.868211983526,279.1757,290.593145772188,777.4047,-1554.06468,-1554.0645320188164,-1554.017162,-1554.017202362173,-1554.001415,-1554.00047,-1554.0014632147358,-1554.0005185468212,-1554.12986458,-1554.1299208227406,776.2374101164193,35.0812133437602,913.0019
O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,3209.4627,3202.008,3209.4627,3202.008,1263.8515,1263.8515,1263.8515,-1084.49138,-1084.49138,-1084.452756,-1084.452756,-1084.441849,-1084.440905,-1084.441849,-1084.440905,-1084.558672,-1084.558672,1263.8515,0.7485,713.3968
O=S(C1=CC=C(C)C=C1)(F)=O,2202.1707,2203.5694,2202.2090239511454,2203.6002431001634,1086.6432,679.3838339947494,1086.6432,-919.290028,-919.289979953422,-919.252281,-919.2522832144788,-919.242008,-919.241064,-919.2420137289868,-919.2410697289868,-919.383278686,-919.3832842223146,1084.7145130469726,41.13744441306356,573.2069
