molecule_id,ligand_ES_root_electronic_spatial_extent_Boltz,ligand_electronic_spatial_extent_Boltz,ligand_ES_root_electronic_spatial_extent_MING,ligand_electronic_spatial_extent_MING,ligand_ES_root_molar_volume_MING,ligand_ES_root_molar_volume_Boltz,ligand_molar_volume_MING,ligand_molar_volume_Boltz,ligand_E_scf_Boltz,ligand_E_scf_MING,ligand_G_Boltz,ligand_G_MING,ligand_E_zpe_Boltz,ligand_E_zpe_MING,ligand_H_Boltz
CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,6482.863942,6492.564853,6480.9487,6490.7507,2284.723,2543.127223,2522.096,2522.363425,-1022.659487,-1022.659473,-1022.297338,-1022.297352,-1022.247886,-1022.247883,-1022.22504
CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,9918.758191,9912.562216,10047.6351,10041.5369,3558.623,3417.368479,3860.771,3555.263342,-1279.430342,-1279.431162,-1278.886285,-1278.887128,-1278.836248,-1278.837118,-1278.813031
[c-]1(P(C2=CC=CC=C2)C3=CC=CC=C3)cccc1.[c-]4(P(C5=CC=CC=C5)C6=CC=CC=C6)cccc4.[Fe+2],21600.19895,21598.31307,21195.8652,21194.05,4823.449,4681.888631,4005.186,4306.476683,-3258.808009,-3258.80786,-3258.359746,-3258.359932,-3258.290568,-3258.290435,-3258.257735
CC(C)(P(C(C)(C)C)[c-]1cccc1)C.CC(C)(P(C(C)(C)C)[c-]2cccc2)C.[Fe+2],14222.41063,14220.83453,14222.0531,14220.4769,3309.493,3684.205262,3753.033,3906.32758,-2963.583904,-2963.583904,-2963.001083,-2963.001084,-2962.937919,-2962.937919,-2962.902108
P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,6138.968059,6134.845001,6147.0226,6142.9062,2914.542,2839.775135,2557.098,2701.573833,-1047.153991,-1047.154239,-1046.714205,-1046.714446,-1046.667588,-1046.667823,-1046.6475
CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,6665.821045,6659.711751,6665.7765,6659.6679,2566.172,2707.133246,2347.108,2675.932357,-1154.242871,-1154.242876,-1153.934051,-1153.934055,-1153.884739,-1153.884743,-1153.863288
P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,5475.9568,5470.5751,5475.9568,5470.5751,2076.678,2076.678,2699.682,2699.682,-1036.298233,-1036.298233,-1036.070506,-1036.070506,-1036.024013,-1036.024013,-1036.007146
COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,11171.92364,11167.58611,11244.3449,11239.1945,3273.455,3800.760961,4259.435,3773.565634,-1503.63855,-1503.638807,-1503.136781,-1503.137094,-1503.077182,-1503.0775,-1503.047999
CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,22536.61605,22532.05148,22460.9666,22456.127,4961.225,5089.357141,5107.143,4719.41067,-2263.354904,-2263.355275,-2262.832925,-2262.833181,-2262.759211,-2262.759571,-2262.721985
CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,15965.51409,15962.07092,16083.1749,16079.8152,4517.471,4460.370234,4558.915,4397.30304,-1628.409128,-1628.409087,-1627.725857,-1627.726283,-1627.658081,-1627.658137,-1627.621204
CC(P(C(C)(C)C)C(C)(C)C)(C)C,2969.0198,2965.7028,2969.0198,2965.7028,2152.297,2152.297,2250.129,2250.129,-814.8756666,-814.8756666,-814.545649,-814.545649,-814.504243,-814.504243,-814.485462
