round,n_experiments,best_conversion,best_selectivity,best_product,hv_pct,elapsed_s,samples
1,3,16.7,36.52694610778443,610.0,6.644716371946845,0.1,#86 Xanthphos/KOAc/MeOH/0.0625 → C=7.6 S=23.7 | #96 P(Ph)3/NaOH(aq.)/MeCN/0.125 → C=16.7 S=36.5 | #234 dtbpf/CsF(aq.)/THF/0.0625 → C=4.7 S=14.9
2,6,38.2,74.67248908296943,2660.0000000000005,30.232290350776946,4.8,#119 P(Cy)3/None/MeCN/0.125 → C=7.0 S=30.0 | #101 P(Ph)3/Cs2CO3(aq.)/MeCN/0.125 → C=22.9 S=74.7 | #88 P(tBu)3/NaOH(aq.)/MeCN/0.125 → C=38.2 S=69.6
3,9,61.00000000000001,79.01639344262294,4820.0,52.504152316039004,9.6,#93 P(tBu)3/Cs2CO3(aq.)/MeCN/0.125 → C=20.1 S=54.7 | #89 P(tBu)3/s. NaHCO3(aq.)/MeCN/0.125 → C=42.8 S=52.1 | #5 P(tBu)3/Cs2CO3(aq.)/MeOH/0.125 → C=61.0 S=79.0
4,12,61.5,79.01639344262294,4820.0,52.93012973505892,14.5,#181 P(tBu)3/Cs2CO3(aq.)/THF/0.125 → C=9.6 S=3.1 | #4 P(tBu)3/KOH(aq.)/MeOH/0.125 → C=61.5 S=78.2 | #1 P(tBu)3/s. NaHCO3(aq.)/MeOH/0.125 → C=52.3 S=74.4
5,15,74.5,79.01639344262294,5600.0,63.57454280311326,19.2,#36 P(o-Tol)3/KOH(aq.)/MeOH/0.125 → C=74.5 S=75.2 | #2 P(tBu)3/CsF(aq.)/MeOH/0.125 → C=50.8 S=74.0 | #0 P(tBu)3/NaOH(aq.)/MeOH/0.125 → C=39.6 S=67.2
6,18,79.5,80.87774294670847,5600.0,68.58622617037486,23.9,#76 dppf/KOH(aq.)/MeOH/0.0625 → C=28.3 S=49.1 | #44 CataCXium A/KOH(aq.)/MeOH/0.125 → C=63.8 S=80.9 | #37 P(o-Tol)3/Cs2CO3(aq.)/MeOH/0.125 → C=79.5 S=66.4
7,21,82.99999999999999,91.92771084337352,7630.000000000001,83.11341953763021,28.7,#45 CataCXium A/Cs2CO3(aq.)/MeOH/0.125 → C=46.0 S=73.5 | #33 P(o-Tol)3/s. NaHCO3(aq.)/MeOH/0.125 → C=76.5 S=84.7 | #12 P(Ph)3/KOH(aq.)/MeOH/0.125 → C=83.0 S=91.9
8,24,86.60000000000001,91.92771084337352,7630.000000000001,86.45074613401258,33.5,#39 P(o-Tol)3/None/MeOH/0.125 → C=59.4 S=76.3 | #38 P(o-Tol)3/KOAc/MeOH/0.125 → C=67.8 S=74.6 | #9 P(Ph)3/s. NaHCO3(aq.)/MeOH/0.125 → C=86.6 S=85.1
9,27,86.60000000000001,94.89414694894144,7649.999999999999,89.08203744994528,38.3,#15 P(Ph)3/None/MeOH/0.125 → C=80.3 S=94.9 | #13 P(Ph)3/Cs2CO3(aq.)/MeOH/0.125 → C=82.2 S=93.1 | #10 P(Ph)3/CsF(aq.)/MeOH/0.125 → C=83.3 S=89.1
10,30,86.60000000000001,95.0859950859951,7740.000000000001,89.27405599772862,43.2,#176 P(tBu)3/NaOH(aq.)/THF/0.125 → C=10.8 S=9.3 | #14 P(Ph)3/KOAc/MeOH/0.125 → C=81.4 S=95.1 | #11 P(Ph)3/1M K3PO4(aq.)/MeOH/0.125 → C=81.5 S=92.1
11,33,86.60000000000001,95.0859950859951,7809.999999999999,89.37970723417057,48.1,#29 P(Cy)3/Cs2CO3(aq.)/MeOH/0.125 → C=84.4 S=92.5 | #25 P(Cy)3/s. NaHCO3(aq.)/MeOH/0.125 → C=33.9 S=70.5 | #17 AmPhos/s. NaHCO3(aq.)/MeOH/0.125 → C=75.4 S=90.2
