round,n_experiments,best_conversion,best_selectivity,best_product,hv_pct,elapsed_s,samples
1,5,79.39999999999999,83.50125944584383,6629.999999999999,72.22044187870094,0.8,#166 dppf/KOAc/MeCN/0.0625 → C=4.5 S=15.6 | #228 SPhos/KOH(aq.)/THF/0.0625 → C=4.3 S=0.0 | #210 P(o-Tol)3/CsF(aq.)/THF/0.125 → C=7.7 S=6.5 | #96 P(Ph)3/NaOH(aq.)/MeCN/0.125 → C=16.7 S=36.5 | #65 XPhos/s. NaHCO3(aq.)/MeOH/0.0625 → C=79.4 S=83.5
2,10,79.39999999999999,83.50125944584383,6629.999999999999,72.22044187870094,6.2,#153 XPhos/s. NaHCO3(aq.)/MeCN/0.0625 → C=11.2 S=1.8 | #71 XPhos/None/MeOH/0.0625 → C=33.5 S=63.3 | #69 XPhos/Cs2CO3(aq.)/MeOH/0.0625 → C=41.0 S=70.7 | #57 dtbpf/s. NaHCO3(aq.)/MeOH/0.0625 → C=19.6 S=21.4 | #25 P(Cy)3/s. NaHCO3(aq.)/MeOH/0.125 → C=33.9 S=70.5
3,15,99.2,95.0859950859951,7740.000000000001,98.61922184873991,11.4,#80 Xanthphos/NaOH(aq.)/MeOH/0.0625 → C=12.2 S=41.8 | #40 CataCXium A/NaOH(aq.)/MeOH/0.125 → C=56.4 S=78.0 | #14 P(Ph)3/KOAc/MeOH/0.125 → C=81.4 S=95.1 | #8 P(Ph)3/NaOH(aq.)/MeOH/0.125 → C=99.2 S=73.8 | #1 P(tBu)3/s. NaHCO3(aq.)/MeOH/0.125 → C=52.3 S=74.4
4,20,99.2,95.0859950859951,7740.000000000001,99.40188982271212,16.7,#46 CataCXium A/KOAc/MeOH/0.125 → C=38.7 S=69.5 | #13 P(Ph)3/Cs2CO3(aq.)/MeOH/0.125 → C=82.2 S=93.1 | #12 P(Ph)3/KOH(aq.)/MeOH/0.125 → C=83.0 S=91.9 | #10 P(Ph)3/CsF(aq.)/MeOH/0.125 → C=83.3 S=89.1 | #9 P(Ph)3/s. NaHCO3(aq.)/MeOH/0.125 → C=86.6 S=85.1
5,25,99.2,95.0859950859951,7740.000000000001,99.40188982271212,22.6,#76 dppf/KOH(aq.)/MeOH/0.0625 → C=28.3 S=49.1 | #73 dppf/s. NaHCO3(aq.)/MeOH/0.0625 → C=36.3 S=67.5 | #36 P(o-Tol)3/KOH(aq.)/MeOH/0.125 → C=74.5 S=75.2 | #15 P(Ph)3/None/MeOH/0.125 → C=80.3 S=94.9 | #11 P(Ph)3/1M K3PO4(aq.)/MeOH/0.125 → C=81.5 S=92.1
6,30,99.2,95.0859950859951,7740.000000000001,99.40188982271212,28.5,#49 SPhos/s. NaHCO3(aq.)/MeOH/0.0625 → C=28.0 S=58.6 | #48 SPhos/NaOH(aq.)/MeOH/0.0625 → C=45.2 S=72.3 | #41 CataCXium A/s. NaHCO3(aq.)/MeOH/0.125 → C=66.3 S=81.1 | #33 P(o-Tol)3/s. NaHCO3(aq.)/MeOH/0.125 → C=76.5 S=84.7 | #32 P(o-Tol)3/NaOH(aq.)/MeOH/0.125 → C=84.0 S=83.5
7,35,99.2,95.0859950859951,7740.000000000001,99.40188982271212,34.3,#320 dtbpf/NaOH(aq.)/DMF/0.0625 → C=3.8 S=0.0 | #233 dtbpf/s. NaHCO3(aq.)/THF/0.0625 → C=5.4 S=9.3 | #145 dtbpf/s. NaHCO3(aq.)/MeCN/0.0625 → C=7.1 S=7.0 | #16 AmPhos/NaOH(aq.)/MeOH/0.125 → C=75.2 S=89.5 | #0 P(tBu)3/NaOH(aq.)/MeOH/0.125 → C=39.6 S=67.2
8,40,99.2,95.0859950859951,7740.000000000001,99.40188982271212,40.2,#185 P(Ph)3/s. NaHCO3(aq.)/THF/0.125 → C=11.6 S=22.4 | #64 XPhos/NaOH(aq.)/MeOH/0.0625 → C=77.9 S=83.3 | #30 P(Cy)3/KOAc/MeOH/0.125 → C=80.6 S=94.0 | #24 P(Cy)3/NaOH(aq.)/MeOH/0.125 → C=46.5 S=71.8 | #17 AmPhos/s. NaHCO3(aq.)/MeOH/0.125 → C=75.4 S=90.2
9,45,99.2,95.0859950859951,7740.000000000001,99.40188982271212,46.2,#118 P(Cy)3/KOAc/MeCN/0.125 → C=3.8 S=23.7 | #70 XPhos/KOAc/MeOH/0.0625 → C=51.4 S=74.1 | #38 P(o-Tol)3/KOAc/MeOH/0.125 → C=67.8 S=74.6 | #22 AmPhos/KOAc/MeOH/0.125 → C=43.7 S=72.3 | #18 AmPhos/CsF(aq.)/MeOH/0.125 → C=77.3 S=90.0
10,50,99.2,95.0859950859951,7740.000000000001,99.40188982271212,52.7,#68 XPhos/KOH(aq.)/MeOH/0.0625 → C=46.0 S=72.6 | #39 P(o-Tol)3/None/MeOH/0.125 → C=59.4 S=76.3 | #37 P(o-Tol)3/Cs2CO3(aq.)/MeOH/0.125 → C=79.5 S=66.4 | #34 P(o-Tol)3/CsF(aq.)/MeOH/0.125 → C=83.8 S=82.7 | #31 P(Cy)3/None/MeOH/0.125 → C=76.7 S=92.4
11,55,99.2,95.0859950859951,7809.999999999999,99.50754105915406,59.2,#126 P(o-Tol)3/KOAc/MeCN/0.125 → C=8.6 S=3.5 | #29 P(Cy)3/Cs2CO3(aq.)/MeOH/0.125 → C=84.4 S=92.5 | #28 P(Cy)3/KOH(aq.)/MeOH/0.125 → C=59.8 S=77.6 | #27 P(Cy)3/1M K3PO4(aq.)/MeOH/0.125 → C=46.7 S=73.2 | #26 P(Cy)3/CsF(aq.)/MeOH/0.125 → C=55.2 S=75.9
