new_index,ligand,base,solvent,ligand_equivalent,objective_conversion,objective_selectivity,priority
126,P(o-Tol)3,KOAc,MeCN,0.125,8.6,3.488372093023256,1.0
29,P(Cy)3,Cs2CO3(aq.),MeOH,0.125,84.39999999999999,92.53554502369668,1.0
28,P(Cy)3,KOH(aq.),MeOH,0.125,59.8,77.59197324414716,1.0
27,P(Cy)3,1M K3PO4(aq.),MeOH,0.125,46.7,73.23340471092077,1.0
26,P(Cy)3,CsF(aq.),MeOH,0.125,55.2,75.90579710144928,1.0
351,Xanthphos,None,DMF,0.0625,PENDING,PENDING,0.0
350,Xanthphos,KOAc,DMF,0.0625,PENDING,PENDING,0.0
349,Xanthphos,Cs2CO3(aq.),DMF,0.0625,PENDING,PENDING,0.0
348,Xanthphos,KOH(aq.),DMF,0.0625,PENDING,PENDING,0.0
347,Xanthphos,1M K3PO4(aq.),DMF,0.0625,PENDING,PENDING,0.0
346,Xanthphos,CsF(aq.),DMF,0.0625,PENDING,PENDING,0.0
345,Xanthphos,s. NaHCO3(aq.),DMF,0.0625,PENDING,PENDING,0.0
344,Xanthphos,NaOH(aq.),DMF,0.0625,PENDING,PENDING,0.0
343,dppf,None,DMF,0.0625,PENDING,PENDING,0.0
342,dppf,KOAc,DMF,0.0625,PENDING,PENDING,0.0
341,dppf,Cs2CO3(aq.),DMF,0.0625,PENDING,PENDING,0.0
340,dppf,KOH(aq.),DMF,0.0625,PENDING,PENDING,0.0
339,dppf,1M K3PO4(aq.),DMF,0.0625,PENDING,PENDING,0.0
338,dppf,CsF(aq.),DMF,0.0625,PENDING,PENDING,0.0
337,dppf,s. NaHCO3(aq.),DMF,0.0625,PENDING,PENDING,0.0
336,dppf,NaOH(aq.),DMF,0.0625,PENDING,PENDING,0.0
335,XPhos,None,DMF,0.0625,PENDING,PENDING,0.0
334,XPhos,KOAc,DMF,0.0625,PENDING,PENDING,0.0
333,XPhos,Cs2CO3(aq.),DMF,0.0625,PENDING,PENDING,0.0
332,XPhos,KOH(aq.),DMF,0.0625,PENDING,PENDING,0.0
331,XPhos,1M K3PO4(aq.),DMF,0.0625,PENDING,PENDING,0.0
330,XPhos,CsF(aq.),DMF,0.0625,PENDING,PENDING,0.0
329,XPhos,s. NaHCO3(aq.),DMF,0.0625,PENDING,PENDING,0.0
328,XPhos,NaOH(aq.),DMF,0.0625,PENDING,PENDING,0.0
