smiles,xtb_total_energy_eh,xtb_homo_ev,xtb_lumo_ev,xtb_gap_ev,xtb_dipole_debye,xtb_alpha_au,xtb_n_atoms,xtb_q_min,xtb_q_max,xtb_q_mean_abs,xtb_q_std
C#CC(=O)c1ccccc1,-26.286606685852,-10.9312,-8.1037,2.827500000000001,3.61,99.041901,16.0,-0.36029566,0.25207678,0.07128219125,0.1173763474524636
C#CC1(O)CCCCC1,-27.257235296371,-10.8643,-4.4583,6.406,1.653,92.413654,21.0,-0.44755412,0.28489658,0.0833294271428571,0.1301841597587408
C#CCCCCO,-21.931531421848,-10.8875,-4.046,6.841499999999999,1.69,74.290165,17.0,-0.44493142,0.2855824,0.08732552294117647,0.1383440427501366
C#CCCCc1ccccc1,-29.587921251909,-10.6349,-6.0403,4.5946,0.53,120.647077,23.0,-0.11265858,0.07032803,0.039457367391304336,0.0440163533936411
C#Cc1ccc(CC)cc1,-26.431598677867,-10.3672,-6.4503,3.9169,0.812,109.016413,20.0,-0.10100252,0.07226177,0.041015826000000005,0.046517894140179754
C#Cc1ccc(OCCC)cc1,-33.660544035493,-10.0798,-6.285,3.7948000000000004,1.841,125.435643,24.0,-0.28069556,0.14674976,0.06278451833333333,0.08270895700210872
C#Cc1ncccn1,-20.635508160637,-10.1684,-7.572,2.5964,1.626,76.710394,12.0,-0.23692589,0.20998161,0.09933348833333333,0.12620694609012142
C(=N/Nc1ccc2ccccc2n1)\c1ccccn1,-49.883138571597,-10.0495,-7.776,2.2735000000000003,2.176,188.579362,31.0,-0.28493041,0.16846976,0.06669646516129032,0.09259086101614951
C/C(=N\O)c1ccccc1,-28.633624396068,-10.5285,-7.0658,3.462699999999999,0.683,101.911229,19.0,-0.35120544,0.30536638,0.07868725736842105,0.12084325696808898
C/C=C/C(=O)OC,-22.894475685795,-11.1465,-7.4173,3.7291999999999996,3.222,69.011615,15.0,-0.41488611,0.34925184,0.11638873866666666,0.16621379149418494
C/C=C/C=C/C(=O)OC,-28.177731148837,-10.7381,-7.7624,2.975699999999999,3.972,91.590821,19.0,-0.41939825,0.34752653,0.09878864684210527,0.14867284031813088
C/N=C/c1ccccc1,-24.595581546275,-10.1794,-7.3717,2.8076999999999996,1.622,97.603383,18.0,-0.23088928,0.07059451,0.04347026388888889,0.06456665988191854
C=C(C)CCCCC,-25.267951591353,-10.3914,-5.3285,5.062900000000001,0.684,97.670631,24.0,-0.10840152,0.04332853,0.04453971208333333,0.0509899779125138
C=CCCC(=O)OC,-26.050566628434,-10.9466,-6.5416,4.405,2.049,80.6626,18.0,-0.40124373,0.35039739,0.10418608777777777,0.15097432533029773
C=CCCCCCC,-25.261820018538,-10.6851,-5.5052,5.1799,0.471,97.735485,24.0,-0.09977047,0.03940191,0.041856952083333336,0.04624616394647348
C=CCNC(N)=O,-22.528933343954,-10.6549,-6.1076,4.5473,4.121,70.818636,15.0,-0.47160507,0.33668585,0.15178739999999996,0.20087170419438447
C=CCOCc1ccccc1,-31.533398733993,-10.6183,-6.1044,4.5139,1.459,118.73963,23.0,-0.32189193,0.08757899,0.05206187130434783,0.08024269313257582
C=CCc1ccccc1,-24.318451397718,-10.636,-6.0788,4.557199999999999,0.288,102.016192,19.0,-0.09448387,0.0432932,0.03656156105263158,0.04000295431813044
