plate_id,smiles,response,additive_id,reaction_smiles
plate_1,C#CC(=O)c1ccccc1,4818.94482,plate_1_0,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.O=C(O)C1CCCCC1.C#CC(=O)c1ccccc1>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
plate_1,C#CC1(O)CCCCC1,54832.44937,plate_1_1,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.O=C(O)C1CCCCC1.C#CC1(O)CCCCC1>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
plate_1,C#CCCCCO,40698.44248,plate_1_2,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.O=C(O)C1CCCCC1.C#CCCCCO>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
plate_1,C#CCCCc1ccccc1,49505.42678,plate_1_3,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.O=C(O)C1CCCCC1.C#CCCCc1ccccc1>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
plate_1,C#Cc1ccc(CC)cc1,48509.86359,plate_1_280,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.O=C(O)C1CCCCC1.C#Cc1ccc(CC)cc1>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
plate_1,C#Cc1ccc(OCCC)cc1,30952.36072,plate_1_222,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.O=C(O)C1CCCCC1.C#Cc1ccc(OCCC)cc1>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
plate_1,C#Cc1ncccn1,1692.44433,plate_1_4,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.O=C(O)C1CCCCC1.C#Cc1ncccn1>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
plate_1,C(=N/Nc1ccc2ccccc2n1)\c1ccccn1,1276.19727,plate_1_656,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.O=C(O)C1CCCCC1.C(=N/Nc1ccc2ccccc2n1)\c1ccccn1>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
plate_1,C/C(=N\O)c1ccccc1,26624.5543,plate_1_18,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.O=C(O)C1CCCCC1.C/C(=N\O)c1ccccc1>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
plate_1,C/C=C/C(=O)OC,57253.57242,plate_1_19,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.O=C(O)C1CCCCC1.C/C=C/C(=O)OC>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
