plate_id,electrophile_smiles,nucleophile_smiles,plate_label
suz_bf5467dc,ClC1=CC=C(N=CC=C2)C2=C1,CC1=CC=C(N(C2CCCCO2)N=C3)C3=C1B(O)O,suz_t1
suz_0a12e4c1,BrC1=CC=C(N=CC=C2)C2=C1,CC1=CC=C(N(C2CCCCO2)N=C3)C3=C1B(O)O,suz_t2
suz_85ed4206,O=S(OC1=CC=C(N=CC=C2)C2=C1)(C(F)(F)F)=O,CC1=CC=C(N(C2CCCCO2)N=C3)C3=C1B(O)O,suz_t3
suz_a3e463e3,IC1=CC=C(N=CC=C2)C2=C1,CC1=CC=C(N(C2CCCCO2)N=C3)C3=C1B(O)O,suz_t4
suz_23d05d87,O=S(OC1=CC=C(N=CC=C2)C2=C1)(C(F)(F)F)=O,CC1=CC=C(N(C2CCCCO2)N=C3)C3=C1B4OC(C)(C)C(C)(C)O4,suz_t5
suz_3f7b28d1,IC1=CC=C(N=CC=C2)C2=C1,CC1=CC=C(N(C2CCCCO2)N=C3)C3=C1B4OC(C)(C)C(C)(C)O4,suz_t6
suz_bb042126,BrC1=CC=C(N=CC=C2)C2=C1,CC1=CC=C(N(C2CCCCO2)N=C3)C3=C1B4OC(C)(C)C(C)(C)O4,suz_t7
suz_dab1526d,ClC1=CC=C(N=CC=C2)C2=C1,CC1=CC=C(N(C2CCCCO2)N=C3)C3=C1B4OC(C)(C)C(C)(C)O4,suz_t8
suz_57763352,O=S(OC1=CC=C(N=CC=C2)C2=C1)(C(F)(F)F)=O,CC1=CC=C(N(C2CCCCO2)N=C3)C3=C1[B-](F)(F)F,suz_t9
suz_369f4a3f,IC1=CC=C(N=CC=C2)C2=C1,CC1=CC=C(N(C2CCCCO2)N=C3)C3=C1[B-](F)(F)F,suz_t10
suz_9f3143f4,BrC1=CC=C(N=CC=C2)C2=C1,CC1=CC=C(N(C2CCCCO2)N=C3)C3=C1[B-](F)(F)F,suz_t11
suz_1ff5e152,ClC1=CC=C(N=CC=C2)C2=C1,CC1=CC=C(N(C2CCCCO2)N=C3)C3=C1[B-](F)(F)F,suz_t12
