reaction_id,experiment_id,substrate_id,substrate_smiles,plate_id,condition_id,ligand,solvent,yield,is_anchor,source,quality_flag,replicate
nib_borylation,nib_00000,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,A-paPhos|EtOH,A-paPhos,EtOH,87.13,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00001,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,CX-FBu|EtOH,CX-FBu,EtOH,6.37,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00002,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,CX-PCy|EtOH,CX-PCy,EtOH,71.75,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00003,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,Cy-BippyPhos|EtOH,Cy-BippyPhos,EtOH,64.52,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00004,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,Cy-JohnPhos|EtOH,Cy-JohnPhos,EtOH,80.44,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00005,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,Cy-PhenCar-Phos|EtOH,Cy-PhenCar-Phos,EtOH,83.28,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00006,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,Cy-vBRIDP|EtOH,Cy-vBRIDP,EtOH,69.3,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00007,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,Kwong|EtOH,Kwong,EtOH,72.88,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00008,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,MeO-KITPHOS|EtOH,MeO-KITPHOS,EtOH,75.61,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00009,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,MePhos|EtOH,MePhos,EtOH,56.11,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00010,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,PCy3 HBF4|EtOH,PCy3 HBF4,EtOH,2.31,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00011,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,Ph-DavePhos|EtOH,Ph-DavePhos,EtOH,53.8,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00012,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,Ph-SPhos|EtOH,Ph-SPhos,EtOH,86.96,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00013,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,Ph-XPhos|EtOH,Ph-XPhos,EtOH,3.73,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00014,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,PMe3 HBF4|EtOH,PMe3 HBF4,EtOH,0.0,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00015,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,P(o-Anis)3|EtOH,P(o-Anis)3,EtOH,11.34,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00016,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,P(p-Anis)3|EtOH,P(p-Anis)3,EtOH,87.97,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00017,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,P(p-F-Ph)3|EtOH,P(p-F-Ph)3,EtOH,85.3,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00018,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,PPh2Cy|EtOH,PPh2Cy,EtOH,88.21,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00019,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,PPh3|EtOH,PPh3,EtOH,85.47,0,organometallics2022_borylation,ok,1
nib_borylation,nib_00020,s1,CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1,logical_s1,PPhtBu2|EtOH,PPhtBu2,EtOH,0.0,0,organometallics2022_borylation,ok,1
