experiment_id,plate_id,condition_id,smiles,yield_raw,yield
cx_00000,plate_1,c_f0d01ebf2d,C#CC(=O)c1ccccc1,4818.94482,-0.7437906050009343
cx_00001,plate_1,c_fdf4c5d6dc,C#CC1(O)CCCCC1,54832.44937,0.7022730752740662
cx_00002,plate_1,c_291b623884,C#CCCCCO,40698.44248,0.5249978864785959
cx_00003,plate_1,c_df70d61004,C#CCCCc1ccccc1,49505.42678,0.6414948023574926
cx_00004,plate_1,c_3e6b953a8c,C#Cc1ccc(CC)cc1,48509.86359,0.6294133974187731
cx_00005,plate_1,c_447e120236,C#Cc1ccc(OCCC)cc1,30952.36072,0.3622058199786269
cx_00006,plate_1,c_59f4e2e54f,C#Cc1ncccn1,1692.44433,-1.3658576714128348
cx_00007,plate_1,c_0f8471e18e,C(=N/Nc1ccc2ccccc2n1)\c1ccccn1,1276.19727,-1.5336237032450413
cx_00008,plate_1,c_866407623b,C/C(=N\O)c1ccccc1,26624.5543,0.2726362327215262
cx_00009,plate_1,c_dfa38e3fe2,C/C=C/C(=O)OC,57253.57242,0.7279688420543383
cx_00010,plate_1,c_02fbdbbfb1,C/C=C/C=C/C(=O)OC,32914.37122,0.3987557095513009
cx_00011,plate_1,c_2d8e6aa672,C/N=C/c1ccccc1,57029.90088,0.7256409833353091
cx_00012,plate_1,c_ff69504dae,C=C(C)CCCCC,46267.9185,0.6012732315911319
cx_00013,plate_1,c_4f11cca64e,C=CCCC(=O)OC,53521.51455,0.687882245451268
cx_00014,plate_1,c_ceaed31fbe,C=CCCCCCC,56240.7535,0.7173543821949556
cx_00015,plate_1,c_82814db65b,C=CCNC(N)=O,58952.71248,0.745361237737508
cx_00016,plate_1,c_b1494b3243,C=CCOCc1ccccc1,38141.12129,0.4864039753136181
cx_00017,plate_1,c_7b86821176,C=CCc1ccccc1,48716.78731,0.6319447523350304
cx_00018,plate_1,c_f6475d1c98,C=CCc1ccccc1C(=O)O,27838.43083,0.29914963225264923
cx_00019,plate_1,c_af7e3c7813,C=CCn1ccnc1,28443.40912,0.3119348804833511
cx_00020,plate_1,c_93f16fb6fe,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,39731.89917,0.5107040805844731
cx_00021,plate_1,c_ed0a6feebf,C=Cc1ccc2ccccc2c1,22023.79645,0.15981795771500973
