task_id,condition_id,plate_id,yield,n,experiment_id
hit_01,c_0511e92d37,screen_SCRN_156,14.0,4,hit_000000
hit_01,c_14766a3f2b,screen_SCRN_156,8.75,4,hit_000001
hit_01,c_14f5c30068,screen_SCRN_156,21.333333333333332,3,hit_000002
hit_01,c_1d9e641278,screen_SCRN_156,27.0,3,hit_000003
hit_01,c_23c32c1777,screen_SCRN_156,4.25,4,hit_000004
hit_01,c_24a01a5b7d,screen_SCRN_156,11.666666666666666,3,hit_000005
hit_01,c_30116215bd,screen_SCRN_156,3.0,2,hit_000006
hit_01,c_3196604cd9,screen_SCRN_156,19.25,4,hit_000007
hit_01,c_32f061b282,screen_SCRN_156,26.75,4,hit_000008
hit_01,c_3c160df052,screen_SCRN_156,4.5,4,hit_000009
hit_01,c_3ee2d5105a,screen_SCRN_156,21.25,4,hit_000010
hit_01,c_3f90fc71ff,screen_SCRN_156,5.666666666666667,3,hit_000011
hit_01,c_40534c4f12,screen_SCRN_156,35.5,2,hit_000012
hit_01,c_4076342b87,screen_SCRN_156,27.5,4,hit_000013
hit_01,c_4648614000,screen_SCRN_156,19.0,3,hit_000014
hit_01,c_466dd475bc,screen_SCRN_156,9.25,4,hit_000015
hit_01,c_4957928872,screen_SCRN_156,2.6666666666666665,3,hit_000016
hit_01,c_5570c5f42c,screen_SCRN_156,5.5,4,hit_000017
hit_01,c_577ff4ada9,screen_SCRN_156,30.75,4,hit_000018
hit_01,c_599a93c125,screen_SCRN_156,15.333333333333334,3,hit_000019
hit_01,c_5e8279fbea,screen_SCRN_156,30.0,4,hit_000020
hit_01,c_7dc2ed3bef,screen_SCRN_156,4.0,2,hit_000021
hit_01,c_87d08dc489,screen_SCRN_156,17.0,3,hit_000022
hit_01,c_8871d0b6cb,screen_SCRN_156,48.333333333333336,3,hit_000023
hit_01,c_9e3adb389c,screen_SCRN_156,35.0,2,hit_000024
hit_01,c_9ffedf54ae,screen_SCRN_156,40.0,4,hit_000025
hit_01,c_a86e283b14,screen_SCRN_156,5.75,4,hit_000026
hit_01,c_a88c92ca46,screen_SCRN_156,11.5,4,hit_000027
hit_01,c_adf3bba061,screen_SCRN_156,10.0,2,hit_000028
hit_01,c_b4e663cbcf,screen_SCRN_156,2.6666666666666665,3,hit_000029
hit_01,c_b6552437bf,screen_SCRN_156,13.5,4,hit_000030
hit_01,c_b9c1c9f68d,screen_SCRN_156,2.5,2,hit_000031
hit_01,c_ba67a9e214,screen_SCRN_156,2.5,4,hit_000032
hit_01,c_bb059feb70,screen_SCRN_156,7.0,4,hit_000033
hit_01,c_c139ee6e43,screen_SCRN_156,17.5,2,hit_000034
hit_01,c_c3b27856cb,screen_SCRN_156,33.0,4,hit_000035
hit_01,c_c4be4d3b3e,screen_SCRN_156,3.5,4,hit_000036
hit_01,c_c7181b1329,screen_SCRN_156,2.75,4,hit_000037
hit_01,c_d71bc0fdfd,screen_SCRN_156,46.333333333333336,3,hit_000038
hit_01,c_dc49028cb5,screen_SCRN_156,4.5,4,hit_000039
hit_01,c_dd752d0e98,screen_SCRN_156,1.5,4,hit_000040
hit_01,c_e2b4f2be96,screen_SCRN_156,9.0,3,hit_000041
hit_01,c_e34fd39dff,screen_SCRN_156,4.0,4,hit_000042
hit_01,c_e564d7612a,screen_SCRN_156,41.666666666666664,3,hit_000043
hit_01,c_e7bd21231d,screen_SCRN_156,20.333333333333332,3,hit_000044
hit_01,c_e8d46c9e9a,screen_SCRN_156,24.0,4,hit_000045
hit_01,c_ef091d2ff2,screen_SCRN_156,3.25,4,hit_000046
hit_01,c_efdcec6f77,screen_SCRN_156,16.0,4,hit_000047
hit_02,c_03f60af5bf,screen_SCRN_68,58.25,4,hit_000048
hit_02,c_0511e92d37,screen_SCRN_68,44.75,4,hit_000049
hit_02,c_14766a3f2b,screen_SCRN_68,44.0,4,hit_000050
hit_02,c_14f5c30068,screen_SCRN_68,71.0,4,hit_000051
hit_02,c_16b6166e76,screen_SCRN_68,83.75,4,hit_000052
hit_02,c_1d9e641278,screen_SCRN_68,39.5,4,hit_000053
