reaction_id,task_id,substrate_smiles,plate_id,screen_id,condition_id,cond_str,catalyst,catalyst_2,solvent,temp_c,time_h,yield,partner_smiles
RKB-03773982,hit_11,c1ccc2c(c1B1OC(C(O1)(C)C)(C)C)oc(n2)C,screen_SCRN_101,SCRN_101,c_14f5c30068,[Pd](Cl)Cl.P(C1CCCCC1)(C1CCCCC1)C1CCCCC1.P(C1CCCCC1)(C1CCCCC1)C1CCCCC1|MeCN,,Pd(P(Cy)3)2Cl2,MeCN,65.0,18.0,57,CI
RKB-03773983,hit_11,c1ccc2c(c1B1OC(C(O1)(C)C)(C)C)oc(n2)C,screen_SCRN_101,SCRN_101,c_4fdc95dfd7,[Pd](Cl)Cl.P(C(C)(C)C)(C(C)(C)C)c1ccc(N(C)C)cc1.P(C(C)(C)C)(C(C)(C)C)c1ccc(N(C)C)cc1|THF,,Pd-132,THF,65.0,18.0,57,CI
RKB-03773984,hit_11,c1ccc2c(c1B1OC(C(O1)(C)C)(C)C)oc(n2)C,screen_SCRN_101,SCRN_101,c_de1ab90c3c,[Pd](Cl)Cl.P(c1c(cccc1)C)(c1c(cccc1)C)c1c(cccc1)C.P(c1c(cccc1)C)(c1c(cccc1)C)c1c(cccc1)C|t-AmOH,,Pd(P(o-Tol)3)2Cl2,t-AmOH,65.0,18.0,57,CI
RKB-03773985,hit_11,c1ccc2c(c1B1OC(C(O1)(C)C)(C)C)oc(n2)C,screen_SCRN_101,SCRN_101,c_1c0256b33d,[Pd](Cl)Cl.P(C1CCCCC1)(C1CCCCC1)C1CCCCC1.P(C1CCCCC1)(C1CCCCC1)C1CCCCC1|t-AmOH,,Pd(P(Cy)3)2Cl2,t-AmOH,65.0,18.0,56,CI
RKB-03773986,hit_11,c1ccc2c(c1B1OC(C(O1)(C)C)(C)C)oc(n2)C,screen_SCRN_101,SCRN_101,c_493aa05fab,O1c2c(C(c3c1c(ccc3)P(c1ccccc1)c1ccccc1)(C)C)cccc2P(c1ccccc1)c1ccccc1.Cl[Pd]Cl|Toluene,,Pd(XanthPhos)Cl2,Toluene,65.0,18.0,56,CI
RKB-03773987,hit_11,c1ccc2c(c1B1OC(C(O1)(C)C)(C)C)oc(n2)C,screen_SCRN_101,SCRN_101,c_599a93c125,[Pd](Cl)Cl.P(c1c(cccc1)C)(c1c(cccc1)C)c1c(cccc1)C.P(c1c(cccc1)C)(c1c(cccc1)C)c1c(cccc1)C|Toluene,,Pd(P(o-Tol)3)2Cl2,Toluene,65.0,18.0,56,CI
RKB-03773988,hit_11,c1ccc2c(c1B1OC(C(O1)(C)C)(C)C)oc(n2)C,screen_SCRN_101,SCRN_101,c_3196604cd9,[Pd](Cl)Cl.P(C(C)(C)C)(C(C)(C)C)c1ccc(N(C)C)cc1.P(C(C)(C)C)(C(C)(C)C)c1ccc(N(C)C)cc1|MeCN,,Pd-132,MeCN,65.0,18.0,56,CI
RKB-03773989,hit_11,c1ccc2c(c1B1OC(C(O1)(C)C)(C)C)oc(n2)C,screen_SCRN_101,SCRN_101,c_04d73ea970,P(C1CCCC1)(C(C)(C)C)C(C)(C)C.P(C1CCCC1)(C(C)(C)C)C(C)(C)C.[Pd](Cl)Cl.[Fe]|THF,,Pd(dtbpf)Cl2,THF,65.0,18.0,55,CI
RKB-03773990,hit_11,c1ccc2c(c1B1OC(C(O1)(C)C)(C)C)oc(n2)C,screen_SCRN_101,SCRN_101,c_04d73ea970,P(C1CCCC1)(C(C)(C)C)C(C)(C)C.P(C1CCCC1)(C(C)(C)C)C(C)(C)C.[Pd](Cl)Cl.[Fe]|THF,,Pd(dtbpf)Cl2,THF,65.0,18.0,54,CI
RKB-03773991,hit_11,c1ccc2c(c1B1OC(C(O1)(C)C)(C)C)oc(n2)C,screen_SCRN_101,SCRN_101,c_b9c1c9f68d,P(C1CCCC1)(c1ccccc1)c1ccccc1.P(C1CCCC1)(c1ccccc1)c1ccccc1.C(Cl)Cl.[Pd](Cl)Cl.[Fe]|MeCN,,Pd(dppf)Cl2,MeCN,65.0,18.0,54,CI
RKB-03773992,hit_11,c1ccc2c(c1B1OC(C(O1)(C)C)(C)C)oc(n2)C,screen_SCRN_101,SCRN_101,c_aabcb49fef,|THF,,SPhos Pd G4,THF,65.0,18.0,53,CI
RKB-03773993,hit_11,c1ccc2c(c1B1OC(C(O1)(C)C)(C)C)oc(n2)C,screen_SCRN_101,SCRN_101,c_99aeac08ec,O1c2c(C(c3c1c(ccc3)P(c1ccccc1)c1ccccc1)(C)C)cccc2P(c1ccccc1)c1ccccc1.Cl[Pd]Cl|MeCN,,Pd(XanthPhos)Cl2,MeCN,65.0,18.0,51,CI
