Amine,Bromide,Catalyst,Solvent,Base,yield
1,1,1,1,a,0.4447333
1,1,1,1,b,2.9949992
1,1,1,1,c,0.40345466
1,1,1,2,a,0.9025471
1,1,1,2,b,2.5491223
1,1,1,2,c,0.3857514
1,1,1,3,a,0.56893486
1,1,1,3,b,2.4784079
1,1,1,3,c,0.35596073
1,1,2,1,a,0.3086946
1,1,2,1,b,2.0876598
1,1,2,1,c,0.37128964
1,1,2,2,a,0.56091636
1,1,2,2,b,2.080713
1,1,2,2,c,0.27457127
1,1,2,3,a,0.489868
1,1,2,3,b,2.566637
1,1,2,3,c,0.3105852
1,1,3,1,a,0.20395318
1,1,3,1,b,0.46399656
1,1,3,1,c,0.41758996
1,1,3,2,a,0.18004322
1,1,3,2,b,-0.44791272
1,1,3,2,c,0.33963704
1,1,3,3,a,0.18078938
1,1,3,3,b,0.34879902
1,1,3,3,c,0.3864896
1,1,4,1,a,0.630584
1,1,4,1,b,2.4324658
1,1,4,1,c,0.2636468
1,1,4,2,a,0.8060321
1,1,4,2,b,1.4721283
1,1,4,2,c,0.19351605
1,1,4,3,a,0.36432183
1,1,4,3,b,1.8859719
1,1,4,3,c,0.2057162
1,1,5,1,a,0.061271276
1,1,5,1,b,0.8460982
1,1,5,1,c,0.2517037
1,1,5,2,a,-0.124724485
1,1,5,2,b,0.27904597
1,1,5,2,c,0.16314352
1,1,5,3,a,-0.04806731
1,1,5,3,b,0.62984264
1,1,5,3,c,0.22204207
1,1,6,1,a,0.66836303
1,1,6,1,b,1.4863237
1,1,6,1,c,0.39273143
1,1,6,2,a,0.30305025
1,1,6,2,b,0.78460735
1,1,6,2,c,0.3174469
1,1,6,3,a,0.55807674
1,1,6,3,b,1.283275
1,1,6,3,c,0.33459774
1,1,7,1,a,0.55738294
1,1,7,1,b,0.8099975
1,1,7,1,c,0.5815399
1,1,7,2,a,1.0616199
1,1,7,2,b,1.5772014
1,1,7,2,c,0.24558114
1,1,7,3,a,0.56209284
1,1,7,3,b,1.0290942
1,1,7,3,c,0.47018456
1,1,8,1,a,0.5111595
1,1,8,1,b,0.011209367
1,1,8,1,c,0.339129
1,1,8,2,a,0.6753924
1,1,8,2,b,0.33445612
1,1,8,2,c,0.16431913
1,1,8,3,a,0.44326442
1,1,8,3,b,0.0004534324
1,1,8,3,c,0.2051535
1,1,9,1,a,0.5414684
1,1,9,1,b,0.52081937
1,1,9,1,c,0.20590228
1,1,9,2,a,0.66365284
1,1,9,2,b,0.8258069
1,1,9,2,c,0.10778146
1,1,9,3,a,0.42827964
1,1,9,3,b,0.57744044
1,1,9,3,c,0.12700883
1,1,10,1,a,2.0226712
1,1,10,1,b,4.5593824
1,1,10,1,c,-0.0035065126
1,1,10,2,a,2.5005069
1,1,10,2,b,5.304749
1,1,10,2,c,-0.056049123
1,1,10,3,a,1.8529093
1,1,10,3,b,4.661124
1,1,10,3,c,-0.15848665
1,1,11,1,a,1.0220963
1,1,11,1,b,1.7937301
1,1,11,1,c,0.44300124
1,1,11,2,a,1.3070418
1,1,11,2,b,2.03646
1,1,11,2,c,0.3101871
1,1,11,3,a,0.90012234
1,1,11,3,b,1.8382463
1,1,11,3,c,0.30084226
1,1,12,1,a,0.88169837
1,1,12,1,b,1.5029421
1,1,12,1,c,0.41609478
1,1,12,2,a,0.74000955
1,1,12,2,b,1.3271395
1,1,12,2,c,0.302757
1,1,12,3,a,0.697016
1,1,12,3,b,1.109933
1,1,12,3,c,0.35970905
1,1,13,1,a,0.3115902
1,1,13,1,b,2.3280613
1,1,13,1,c,0.19092852
1,1,13,2,a,0.33636263
1,1,13,2,b,1.6622361
1,1,13,2,c,0.24166149
1,1,13,3,a,0.21741962
1,1,13,3,b,1.7025514
1,1,13,3,c,0.2049544
1,1,14,1,a,0.3413035
1,1,14,1,b,1.9430785
1,1,14,1,c,0.28838953
1,1,14,2,a,0.6176387
1,1,14,2,b,3.5109072
1,1,14,2,c,0.22553772
1,1,14,3,a,0.2993686
1,1,14,3,b,2.0049691
1,1,14,3,c,0.30577934
1,1,16,1,a,4.616297
1,1,16,1,b,6.598899
1,1,16,1,c,0.55916935
1,1,16,2,a,4.1080546
1,1,16,2,b,6.798144
1,1,16,2,c,0.43610483
1,1,16,3,a,3.8735356
